Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,89,90.7,91.2,92,92.7,0,0,0,0,0,45.6
1E,90.5,90.2,91,90.8,90.3,0,0,0,0,0,45.3
2H,90.9,94.9,92,91.5,90,0,0,0,0,0,45.9
2E,90.8,92.1,91.3,89.4,91.9,0,0,0,0,0,45.6
3H,92.5,91.7,90.9,93,89.9,0,0,0,0,0,45.8
3E,91.5,90.8,92.7,91,89.5,0,0,0,0,0,45.6
4H,89.7,91.1,89.9,90.5,91,0,0,0,0,0,45.2
4E,91,91.2,92.8,93,91.5,0,0,0,0,0,46
5H,90.2,91.1,92.3,91.7,93,0,0,0,0,0,45.8
5E,89,92.5,93.4,92.6,92.4,0,0,0,0,0,46
6H,91.6,89,89.1,90.4,91,0,0,0,0,0,45.1
6E,91.9,92.3,92.4,94.5,90,0,0,0,0,0,46.1
7H,92.2,91.8,91.5,90.8,93,0,0,0,0,0,45.9
7E,92,93.5,92.8,91.3,90.8,0,0,0,0,0,46
8H,93.4,92.1,91.7,92,90.7,0,0,0,0,0,46
8E,96.7,93.6,90.7,91.2,89,0,0,0,0,0,46.1
9H,89.7,91.3,92.8,92,90.1,0,0,0,0,0,45.6
9E,91.4,93.5,95,90.7,91,0,0,0,0,0,46.2
10H,92.1,92.4,92.3,90,92.8,0,0,0,0,0,46
10E,91.2,91.9,92.5,92,90,0,0,0,0,0,45.8
11H,91.2,90.8,91.6,89.5,90,0,0,0,0,0,45.3
11E,89.7,90.8,91.4,93.7,91,0,0,0,0,0,45.7
12H,91.3,91.3,92,91.6,90,0,0,0,0,0,45.6
12E,91.3,92.6,92.2,90.1,90.6,0,0,0,0,0,45.7
13H,89.8,91.4,90.8,92,91,0,0,0,0,0,45.5
13E,89.7,90.2,92,91,89,0,0,0,0,0,45.2
14H,90.4,89,89.7,91,90.5,0,0,0,0,0,45.1
14E,91.6,90.7,93.4,92.6,91,0,0,0,0,0,45.9
15H,91.8,92.2,92,91.7,90,0,0,0,0,0,45.8
15E,92.7,90.3,92,90.8,93,0,0,0,0,0,45.9
16H,92.3,91.6,91.4,90.7,89.3,0,0,0,0,0,45.5
16E,91.9,92,92.7,92.8,91,0,0,0,0,0,46
17H,91,89.8,91.9,91.9,95,0,0,0,0,0,46
17E,90.8,91.4,91.8,89.2,90,0,0,0,0,0,45.3
18H,89.7,90,89.7,91.2,92,0,0,0,0,0,45.3
18E,93.6,92.9,91,90.9,92.3,0,0,0,0,0,46.1
19H,92.6,92.7,91.1,89.7,90.2,0,0,0,0,0,45.6
19E,93.3,91.1,91.9,92.8,91,0,0,0,0,0,46
20H,91.8,96.4,91.5,92,92.9,0,0,0,0,0,46.5
20E,92.2,92.4,92.5,91,95,0,0,0,0,0,46.3
21H,92.7,90,91.2,92,89.7,0,0,0,0,0,45.6
21E,90.7,91.2,93,89.9,91,0,0,0,0,0,45.6
22H,91.9,91.7,91.2,90.7,89,0,0,0,0,0,45.4
22E,91.5,93,91.4,91.6,92.9,0,0,0,0,0,46
23H,90.7,92.5,91,91.8,90.7,0,0,0,0,0,45.7
23E,89.7,90.7,89.6,90.3,92,0,0,0,0,0,45.2
24H,91.2,89.7,92,89.2,91.6,0,0,0,0,0,45.4
24E,89,88,91.8,90.7,92,0,0,0,0,0,45.2
25H,89.6,90.3,90.4,90.9,90.2,0,0,0,0,0,45.1
25E,92.4,91.2,90.8,90.5,92,0,0,0,0,0,45.7
26H,89,88,89.5,90.4,91,0,0,0,0,0,44.8
26E,89.9,91,91.3,92.6,91.2,0,0,0,0,0,45.6
27H,89,92.6,91,90.8,91,0,0,0,0,0,45.4
27E,90.6,92.3,89,90.7,91,0,0,0,0,0,45.4
28H,89,90.7,93,91,92.7,0,0,0,0,0,45.6
28E,91.7,90.7,89.9,92,91.6,0,0,0,0,0,45.6
