Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,92.1,93.2,90,,,,,,,,91.8
1E,90.6,92.8,91,,,,,,,,91.5
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,91.7,92.3,94.2,,,,,,,,92.7
3E,92.7,92.3,94.5,,,,,,,,93.2
4H,91,92.7,93.2,,,,,,,,92.3
4E,,,,,,,,,,,
5H,89,93.1,92,,,,,,,,91.4
5E,89.8,94,95.2,,,,,,,,93
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,92.8,92.7,93.2,,,,,,,,92.9
7E,89,90.2,91,,,,,,,,90.1
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,90.5,93,94.7,,,,,,,,92.7
9E,90,92.5,92.4,,,,,,,,91.6
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,92,93.7,91,,,,,,,,92.2
11E,94.5,95.8,91,,,,,,,,93.8
12H,,,,,,,,,,,
12E,92,90.2,89.7,,,,,,,,90.6
13H,90.7,93.9,91.3,,,,,,,,92
13E,91.8,94.3,90,,,,,,,,92
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,89,94.3,92.2,,,,,,,,91.8
15E,91,93.2,93.4,,,,,,,,92.5
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,90,89.2,92.3,,,,,,,,90.5
17E,90.7,91.1,94,,,,,,,,91.9
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,94.3,95.3,92,,,,,,,,93.9
19E,93,93.7,92,,,,,,,,92.9
