Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,86.5,87,86.7,,,,,,,,86.7
1E,87,86.2,87.1,,,,,,,,86.8
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,87,86.2,86.8,,,,,,,,86.7
3E,86.8,87,86.2,,,,,,,,86.7
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,87,86,88.2,,,,,,,,87.1
5E,89.6,87,86.8,,,,,,,,87.8
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,86,87,89.3,,,,,,,,87.4
7E,87,88.3,87.1,,,,,,,,87.5
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,86.2,86.3,89.5,,,,,,,,87.3
9E,92.3,90.3,87,,,,,,,,89.9
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,86.9,86.2,87,,,,,,,,86.7
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,87.9,86,87.1,,,,,,,,87
13E,87.1,86,87.7,,,,,,,,86.9
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,87.2,87.8,87,,,,,,,,87.3
15E,86.2,87,86.5,,,,,,,,86.6
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,91.3,86,87,,,,,,,,88.1
17E,86,90.2,87,,,,,,,,87.7
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,86,87,90.5,,,,,,,,87.8
19E,86,87,86.9,,,,,,,,86.6
20H,,,,,,,,,,,
20E,,,,,,,,,,,
21H,87,90.6,87,,,,,,,,88.2
21E,87.5,86,87.2,,,,,,,,86.9
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,87.8,88.7,86.2,,,,,,,,87.6
23E,87,86.2,87.9,,,,,,,,87
24H,,,,,,,,,,,
24E,,,,,,,,,,,
25H,92.5,88.3,88,,,,,,,,89.6
25E,87.9,86.5,91.7,,,,,,,,88.7
26H,,,,,,,,,,,
26E,,,,,,,,,,,
27H,87,86.8,87.2,,,,,,,,87
27E,87.3,86,87,,,,,,,,86.8
28H,,,,,,,,,,,
28E,,,,,,,,,,,
29H,,,,,,,,,,,
29E,88.3,89.8,87.5,,,,,,,,88.5
30H,,,,,,,,,,,
30E,,,,,,,,,,,
31H,89.1,89.2,86,,,,,,,,88.1
31E,90.5,86.3,88.5,,,,,,,,88.4
32H,,,,,,,,,,,
32E,,,,,,,,,,,
33H,86.4,88.7,86,,,,,,,,87
33E,87.2,86.7,87.9,,,,,,,,87.3
34H,,,,,,,,,,,
34E,,,,,,,,,,,
35H,86,87,87.3,,,,,,,,86.8
35E,87,86.6,88,,,,,,,,87.2
36H,,,,,,,,,,,
36E,,,,,,,,,,,
37H,87.2,87.4,87.9,,,,,,,,87.5
37E,89.1,88.3,87.5,,,,,,,,88.3
38H,,,,,,,,,,,
38E,,,,,,,,,,,
39H,87.4,87.6,88.2,,,,,,,,87.7
39E,87.3,88.9,87.2,,,,,,,,87.8
40H,,,,,,,,,,,
40E,,,,,,,,,,,
41H,87.5,86,88.5,,,,,,,,87.3
41E,86.6,87,86.4,,,,,,,,86.7
42H,,,,,,,,,,,
42E,,,,,,,,,,,
43H,90.2,87,86.9,,,,,,,,88
43E,87.8,89.9,90.2,,,,,,,,89.3
44H,,,,,,,,,,,
44E,,,,,,,,,,,
45H,86,87.8,86,,,,,,,,86.6
45E,86,88,87.2,,,,,,,,87.1
46H,,,,,,,,,,,
46E,,,,,,,,,,,
47H,87,86.8,87.2,,,,,,,,87
47E,86,86.5,87,,,,,,,,86.5
48H,,,,,,,,,,,
48E,,,,,,,,,,,
49H,86,87,87.2,,,,,,,,86.7
49E,88.1,88.6,87,,,,,,,,87.9
50H,,,,,,,,,,,
50E,,,,,,,,,,,
51H,86,90.2,87,,,,,,,,87.7
51E,88.1,86.8,90,,,,,,,,88.3
52H,,,,,,,,,,,
52E,,,,,,,,,,,
53H,89,87,87.8,,,,,,,,87.9
53E,88,87.2,86,,,,,,,,87.1
54H,,,,,,,,,,,
54E,,,,,,,,,,,
