Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1E,,,,,,,,,,,
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,83,85.6,87,,,,,,,,85.2
4E,84.2,83.1,83.3,,,,,,,,83.5
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,84,82,86.4,,,,,,,,84.1
8E,82,80.,82,,,,,,,,81.3
9H,,,,,,,,,,,
9E,,,,,,,,,,,
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,85.8,85.6,85.4,,,,,,,,85.6
12E,85.7,86,85.4,,,,,,,,85.7
13H,,,,,,,,,,,
13E,,,,,,,,,,,
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,,,,,,,,,,,
15E,,,,,,,,,,,
16H,80,82.4,87.7,,,,,,,,83.4
16E,80.3,83.3,85.5,,,,,,,,83
17H,,,,,,,,,,,
17E,,,,,,,,,,,
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,,,,,,,,,,,
19E,,,,,,,,,,,
20H,83.4,83.1,87.4,,,,,,,,84.6
20E,83.6,84,84.3,,,,,,,,84
21H,,,,,,,,,,,
21E,,,,,,,,,,,
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,,,,,,,,,,,
23E,,,,,,,,,,,
24H,,,,,,,,,,,
24E,,,,,,,,,,,
25H,,,,,,,,,,,
25E,,,,,,,,,,,
26H,,,,,,,,,,,
26E,,,,,,,,,,,
27H,,,,,,,,,,,
27E,,,,,,,,,,,
28H,84.8,82.9,83,,,,,,,,83.6
28E,80.3,84.5,86,,,,,,,,83.6
29H,,,,,,,,,,,
29E,,,,,,,,,,,
30H,,,,,,,,,,,
30E,,,,,,,,,,,
31H,,,,,,,,,,,
31E,,,,,,,,,,,
32H,85,82.4,86.5,,,,,,,,84.6
32E,80,84.4,86,,,,,,,,83.5
33H,,,,,,,,,,,
33E,,,,,,,,,,,
34H,,,,,,,,,,,
34E,,,,,,,,,,,
35H,,,,,,,,,,,
35E,,,,,,,,,,,
36H,87.2,87,86.5,,,,,,,,86.9
36E,80.3,83.3,88,,,,,,,,83.9
37H,,,,,,,,,,,
37E,,,,,,,,,,,
38H,,,,,,,,,,,
38E,,,,,,,,,,,
