Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1E,,,,,,,,,,,
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,,,,,,,,,,,
1DBH1,85.3,86.1,86.2,85.2,84.4,,,,,,85.4
1DBH2,83,86,85.1,86.2,84.6,,,,,,85
1DBH3,84,86.7,86.5,85.9,85.1,,,,,,85.6
3VNH1,85.7,86,86.5,88,88.4,,,,,,86.9
3VNH2,86.5,84.7,87.6,87.4,85,,,,,,86.2
3VNH3,90.1,89,90.1,90.5,90.2,,,,,,90
1DB21,90.8,93.4,91,91.1,91.3,,,,,,91.5
1DB22,87.6,90.6,90.4,90.1,89.3,,,,,,89.6
1DB23,90.8,90.2,86.7,91.4,90,,,,,,89.8
3VN21,88.3,90.1,90.4,89.8,89.3,,,,,,89.6
3VN22,88.6,90.8,91.1,91,91.3,,,,,,90.6
3VN23,86,91.3,91.2,92.4,91.7,,,,,,90.5
1DB41,86,84.5,86,85,86.2,,,,,,85.5
1DB42,82.3,87,85,87,86.8,,,,,,85.6
1DB43,85,86.9,86.8,87,86.2,,,,,,86.4
1DBE2,86,86.2,88.9,85.7,86.1,,,,,,86.6
1DBE1,86.3,85.6,84,86.3,86.2,,,,,,85.7
1VNE3,86.4,87.8,89.7,86.4,87,,,,,,87.5
3VN41,85.3,83.5,85,82.6,84.5,,,,,,84.2
3VN42,83.6,87,88.3,87.4,82.5,,,,,,85.8
3VN43,82.7,82.1,85,82.3,82.3,,,,,,82.9
3VN43,,,,,,,,,,,
3VNE1,83.4,84.2,84.1,82.8,84,,,,,,83.7
3VNE2,83.1,83,82.7,83,82.8,,,,,,82.9
3VNE3,82.1,82.3,82.4,84.4,82.4,,,,,,82.7
2DBH1,89.1,91.1,91.8,89.6,92.7,,,,,,90.9
2DBH2,91.8,91.8,89.2,92.3,88.4,,,,,,90.7
2DBH3,85.7,95.2,91,90.5,91.8,,,,,,90.8
2DB21,92.1,91.4,92.1,92.8,90.3,,,,,,91.7
2DB22,89.7,91.6,91.8,91.4,88.8,,,,,,90.7
2DB23,89.6,91.3,92,89.3,89.2,,,,,,90.3
4VNH1,91.7,92.3,88.7,90.3,91.1,,,,,,90.8
4VNH2,90.2,91.8,91.7,91.4,88.5,,,,,,90.7
4VNH3,90.8,92,89.5,87.5,91.2,,,,,,90.2
4VN21,84,87.1,89.2,91.1,90,,,,,,88.3
4VN22,84,88.7,90.4,89.3,90.9,,,,,,88.7
4VN23,82.2,86,89.9,89.4,88,,,,,,87.1
2DB41,87,92.4,89.1,91,90,,,,,,89.9
2DB42,85,92.4,91.8,92.2,88.4,,,,,,90
2DB43,91.6,92.9,93.1,92.6,91,,,,,,92.2
2DBE,85.9,90.3,90.1,90.0,91.5,,,,,,89.6
2DBE2,86.2,90.3,86.6,89.4,92.0,,,,,,88.9
2VNE3,88.5,88.1,88.3,87.2,90.6,,,,,,88.5
4VNE,89.7,85.7,89.8,88.9,88.7,,,,,,88.6
4VNE2,90.0,89.0,89.8,87.6,90,,,,,,89.3
4VNE3,90.4,89.1,89.1,90.6,89.6,,,,,,89.8
4VN,82.5,88.6,86.5,90.3,90.3,,,,,,87.6
4VN41,85.8,90.1,90.7,91.4,91.0,,,,,,89.8
4VN43,87.9,90.7,90.0,90.8,92.9,,,,,,90.5
HV,,,,,,,,,,,
