Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,89.3,89.4,86.8,,,,,,,,88.5
1E,87,86.9,88,,,,,,,,87.3
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,87,89.3,88,,,,,,,,88.1
3E,87,87.7,86.3,,,,,,,,87
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,87.8,88.5,87,,,,,,,,87.8
5E,86.6,88.6,87,,,,,,,,87.4
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,86.7,87,89,,,,,,,,87.6
7E,87.2,89,88.7,,,,,,,,88.3
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,86,87.2,90,,,,,,,,87.7
9E,88,87.2,87.8,,,,,,,,87.7
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,87.5,87.2,88,,,,,,,,87.6
11E,87.3,87,89,,,,,,,,87.8
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,90,89,87.2,,,,,,,,88.7
13E,,,,,,,,,,,
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,86,87.5,86.4,,,,,,,,86.6
15E,88,86,87.2,,,,,,,,87.1
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,88,88,88.3,,,,,,,,88.1
17E,87,85.7,87.2,,,,,,,,86.6
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,87,88,87.9,,,,,,,,87.6
19E,88.4,86,87,,,,,,,,87.1
20H,,,,,,,,,,,
20E,,,,,,,,,,,
21H,90.1,87.2,88.2,,,,,,,,88.5
21E,87,86,87.5,,,,,,,,86.8
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,86.7,88.7,87.7,,,,,,,,87.7
23E,87,87.3,89,,,,,,,,87.8
