Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,77.7,78.6,75.1,,,,,,,,77.1
1A,,,,,,,,,,,
1B,,,,,,,,,,,
1E,71.8,72.7,74.4,,,,,,,,73
2H,,,,,,,,,,,
2A,,,,,,,,,,,
2B,,,,,,,,,,,
2E,,,,,,,,,,,
3H,,,,,,,,,,,
3A,,,,,,,,,,,
3B,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4A,,,,,,,,,,,
4B,,,,,,,,,,,
4E,,,,,,,,,,,
5H,,,,,,,,,,,
5A,,,,,,,,,,,
5B,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6A,,,,,,,,,,,
6B,,,,,,,,,,,
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7A,,,,,,,,,,,
7B,,,,,,,,,,,
7E,,,,,,,,,,,
8H,75.6,80.4,78.1,,,,,,,,78
8A,,,,,,,,,,,
8B,69.6,78,78.8,,,,,,,,75.5
8E,,,,,,,,,,,
