Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,75.9,77.7,75.7,,,,,,,,76.4
1E,75,74.4,75,,,,,,,,74.8
2H,,,,,,,,,,,
2E,74,75.1,74.5,,,,,,,,74.5
3H,76,76.2,77.3,,,,,,,,76.5
3E,78.1,76,78.9,,,,,,,,77.7
4H,77,77.5,76.3,,,,,,,,76.9
4E,75,76.1,74.7,,,,,,,,75.3
5H,76.7,76.3,79.3,,,,,,,,77.4
5E,77.1,77.9,74.8,,,,,,,,76.6
6H,78.9,78.3,78.4,,,,,,,,78.5
6E," 73",72.4,71,,,,,,,,72.1
7H,74,75.8,76,,,,,,,,75.3
7E,75,75.4,74,,,,,,,,74.8
8H,75.1,77.2,78,,,,,,,"BB ",57.6
8E,76.7,74.2,75.3,,,,,,,,75.4
9H,74,76.4,79,,,,,,,,76.5
9E,72.1,73.6,70.4,,,,,,,,72
9E1,75.1,76,76,,,,,,,,75.7
2H,77.4,77.4,73,,,,,,,,75.9
6E1,75.9,75,78.9,,,,,,,,76.6
