Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,89.7,90.6,92.7,,,,,,,,91
1E,90.4,89.7,90.4,,,,,,,,90.2
2H,89.7,92,90.8,,,,,,,,90.8
2E,93.5,90.1,90.8,,,,,,,,91.5
3H,92,91.4,91.6,,,,,,,,91.7
3E,92,90.7,90,,,,,,,,90.9
4H,90.7,91.3,90.7,,,,,,,,90.9
4E,89,93,90,,,,,,,,90.7
5H,91.1,93.3,92,,,,,,,,92.1
5E,92,93.6,91.6,,,,,,,,92.4
6H,91,93,92,,,,,,,,92
6E,89.7,90.4,91.1,,,,,,,,90.4
7H,90.7,91,93.7,,,,,,,,91.8
7E,91.8,91.5,91.5,,,,,,,,91.6
8H,93,91.7,91.8,,,,,,,,92.2
8E,91.6,92,89.9,,,,,,,,91.2
9H,91.2,89,90.7,,,,,,,,90.3
9E,90.9,91.9,91.5,,,,,,,,91.4
10H,92,94.1,91.8,,,,,,,,92.6
10E,94.4,91.4,92,,,,,,,,92.6
11H,92.3,92.8,91,,,,,,,,92
11E,90.7,93.2,90.5,,,,,,,,91.5
12H,89.2,89.3,90.7,,,,,,,,89.7
12E,92.5,91.4,90.7,,,,,,,,91.5
13H,91.8,91.5,91.7,,,,,,,,91.7
13E,92.8,91,91.3,,,,,,,,91.7
14H,92.2,93.7,93.9,,,,,,,,93.3
14E,91.3,91.7,91.2,,,,,,,,91.4
15H,89.7,90.4,91.6,,,,,,,,90.6
15E,91.3,91.7,91.4,,,,,,,,91.5
16H,90.6,"90,8",93.3,,,,,,,,91.3
16E,90.6,90.6,91,,,,,,,,90.7
17H,92,91.8,90.6,,,,,,,,91.5
17E,91.3,93,93.9,,,,,,,,92.7
18H,91.3,89,92.3,,,,,,,,90.9
18E,90.8,89.8,90.7,,,,,,,,90.4
19H,89.9,90.2,91,,,,,,,,90.4
19E,90.9,89.7,90.4,,,,,,,,90.3
20H,91.5,90.4,91,,,,,,,,91
20E,90,91.6,89.9,,,,,,,,90.5
21H,91.2,91.9,93.1,,,,,,,,92.1
21E,89,91,90.9,,,,,,,,90.3
22H,89.1,91.2,89.6,,,,,,,,90
22E,90.5,90.7,90.5,,,,,,,,90.6
23H,91.6,91.7,91.2,,,,,,,,91.5
23E,91.5,90.7,91.2,,,,,,,,91.1
24H,90.2,91.,89,,,,,,,,90.1
24E,89,90.2,89.7,,,,,,,,89.6
25H,90,92.8,91,,,,,,,,91.3
25E,89.3,91.6,91.6,,,,,,,,90.8
26H,89,91.5,91.5,,,,,,,,90.7
26E,92,91.4,92.2,,,,,,,,91.9
27H,89.7,90.8,93,,,,,,,,91.2
27E,90.8,89.7,92.2,,,,,,,,90.9
28H,91.9,92.1,91,,,,,,,,91.7
28E,92.6,89.4,88.9,,,,,,,,90.3
