Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,63.8,64.0,63.1,,,,,,,,63.6
1E,78.3,75.6,76.7,,,,,,,,76.9
2H,79.1,78.5,81.1,,,,,,,,79.6
2E,70.7,72,73.2,,,,,,,,72
3H,77.9,78.6,78.7,,,,,,,,78.4
3E,79.5,77.7,75.3,,,,,,,,77.5
4H,79.3,81.2,80.2,,,,,,,,80.2
4E,79.6,80,79.1,,,,,,,,79.6
5H,78.4,80.7,78.3,,,,,,,,79.1
5E,79.4,77.9,78.7,,,,,,,,78.7
4M,79.8,80.5,79.7,,,,,,,,80
4M,68.4,77.7,78.5,,,,,,,,74.9
5M,80.7,78.5,74.7,,,,,,,,78
2M,79.7,77.6,80.5,,,,,,,,79.3
3M,79.2,79.1,80.1,,,,,,,,79.5
1M,77,77.2,77.5,,,,,,,,77.2
