Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,70.5,72.3,71.5,,,,,,,,71.4
1A,73.3,77.2,78.4,,,,,,,,76.3
1B,77.1,76.3,75.5,,,,,,,,76.3
1E,76,77.8,75.8,,,,,,,,76.5
2H,72.2,74.4,75.5,,,,,,,,74
2A,77.7,76.6,78,,,,,,,,77.4
2B,74.5,74.9,73.1,,,,,,,,74.2
2E,72.3,77.9,80.2,,,,,,,,76.8
3H,74.2,74.6,76.6,,,,,,,,75.1
3A,72.4,72.8,74.2,,,,,,,,73.1
3B,70.8,71.3,74.2,,,,,,,,72.1
3E,78.2,80.5,77.8,,,,,,,,78.8
4H,73.6,78.8,76.6,,,,,,,,76.3
4A,72.2,75.6,76.6,,,,,,,,74.8
4B,77.7,75.5,78.6,,,,,,,,77.3
4E,80.2,77.9,79.6,,,,,,,,79.2
5H,72.5,75.4,73.4,,,,,,,,73.8
5A,72.5,77.6,74.2,,,,,,,,74.8
5B,75.3,75,71.6,,,,,,,,74
5E,78.6,79.6,79,,,,,,,,79.1
6H,70,72.4,72.8,,,,,,,,71.7
6A,76,70.3,73.3,,,,,,,,73.2
6B,73.6,70,76.4,,,,,,,,73.3
6E,76.8,80.2,78.9,,,,,,,,78.6
7H,71.2,72.2,70.6,,,,,,,,71.3
7A,72.2,73.4,72.4,,,,,,,,72.7
7B,76.5,75.4,74.2,,,,,,,,75.4
7E,78.8,79.8,79,,,,,,,,79.2
8H,72.6,71.6,73.6,,,,,,,,72.6
8A,72.4,73.6,74.6,,,,,,,,73.5
8B,70.1,77.8,75.6,,,,,,,,74.5
8E,78.7,77.7,"79,8",,,,,,,,78.5
9H,76,75.6,74.8,,,,,,,,75.5
9A,72.5,76.2,77.5,,,,,,,,75.4
9B,73.6,75.6,77.3,,,,,,,,75.5
9E,75.4,71.6,72.4,,,,,,,,73.1
10H,78.7,76.5,72.6,,,,,,,,75.9
10A,73.3,74.4,72.2,,,,,,,,73.3
10B,73.5,75.6,72.2,,,,,,,,73.8
10E,78.9,79.2,79.1,,,,,,,,79.1
