Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,77.4,75.6,75.6,,,,,,,,76.2
1A,73.7,75.5,71.1,,,,,,,,73.4
1B,71.1,75.8,68.3,,,,,,,,71.7
1E,66.3,74.3,73.9,,,,,,,,71.5
2H,76.3,79.2,78.5,,,,,,,,78
2A,77.6,77.7,78.1,,,,,,,,77.8
2B,61.2,70.6,71.6,,,,,,,,67.8
2E,73.8,77.6,73.9,,,,,,,,75.1
3H,74.8,74.7,73,,,,,,,,74.2
3A,74.3,73.7,68.4,,,,,,,,72.1
3B,77.5,76,76.5,,,,,,,,76.7
3E,75.1,77.5,73.5,,,,,,,,75.4
1M,71.5,71.9,68.7,,,,,,,,70.7
3M,78.3,78.4,75.4,,,,,,,,77.4
2M1,76.9,78.6,76.9,,,,,,,,77.5
1M1,74.2,74.6,74.6,,,,,,,,74.5
2M,68.6,77.9,74.1,,,,,,,,73.5
3M1,78.5,78.8,79.9,,,,,,,,79.1
