Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,73.4,75.5,76.1,,,,,,,,75
1A,79.4,80.9,79.5,,,,,,,,79.9
1B,80,76.8,80.7,,,,,,,,79.2
1E,76,82.3,77.5,,,,,,,,78.6
2H,78.6,80,80.7,,,,,,,,79.8
2A,78.6,78.5,71.4,,,,,,,,76.2
2B,82.5,79.9,80.8,,,,,,,,81.1
2E,80.8,80.3,68.2,,,,,,,,76.4
3H,79.5,79.2,80.8,,,,,,,,79.8
3A,80.1,78.1,81.5,,,,,,,,79.9
3B,78,80.5,80.4,,,,,,,,79.6
3E,77.8,76.5,80.4,,,,,,,,78.2
1M,79.1,77,78.9,,,,,,,,78.3
1M1,79.6,77.8,80.6,,,,,,,,79.3
2M1,80.4,79.8,80.4,,,,,,,,80.2
3M1,80.1,78.8,79,,,,,,,,79.3
2M1,80.8,80.1,80.4,,,,,,,,80.4
3M,72.4,76.9,75.2,,,,,,,,74.8
