Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,89,90.2,91,,,,,,,,90.1
1E,90.2,91,90.7,,,,,,,,90.6
2H,90.2,89,89.9,,,,,,,,89.7
2E,89.9,89.4,90.2,,,,,,,,89.8
3H,91.7,90.2,90.5,,,,,,,,90.8
3E,92.7,91,90.2,,,,,,,,91.3
4H,90,90.2,90.5,,,,,,,,90.2
4E,89.2,89.7,90.1,,,,,,,,89.7
5H,80,82,83.7,,,,,,,,81.9
5E,93.1,90.2,89,,,,,,,,90.8
6H,64,74.2,76,,,,,,,,71.4
6E,89.2,90.2,91,,,,,,,,90.1
7H,93.3,92.7,91,,,,,,,,92.3
7E,90.6,89,89.5,,,,,,,,89.7
8H,90.7,89.3,89.7,,,,,,,,89.9
8E,89,90.7,90.2,,,,,,,,90
9H,89,91.4,90.2,,,,,,,,90.2
9E,91.8,89,90.2,,,,,,,,90.3
10H,90.6,89,89.5,,,,,,,,89.7
10E,89,91.7,90.2,,,,,,,,90.3
11H,89.4,89,90.2,,,,,,,,89.5
11E,90.8,89.7,89,,,,,,,,89.8
12H,90.6,91,90.2,,,,,,,,90.6
12E,93.8,91,90.2,,,,,,,,91.7
5H1,87,86.2,85,,,,,,,,86.1
6H1,87,86.2,88.2,,,,,,,,87.1
5H2,90,89.7,90.2,,,,,,,,90
6H2,94,91,90.2,,,,,,,,91.7
