Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,90,89.7,89.5,,,,,,,,89.7
1E,90,89.7,89,,,,,,,,89.6
2H,90,89.7,90.3,,,,,,,,90
2E,89,90.4,90.3,,,,,,,,89.9
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,,,,,,,,,,,
1E1,89,90.2,89.9,,,,,,,,89.7
1E2,90,89.7,90.2,,,,,,,,90
1E3,89,90.2,89.7,,,,,,,,89.6
1E4,90.7,89,89.6,,,,,,,,89.8
1E5,90.7,89,90.2,,,,,,,,90
1E6,89,90.4,90.8,,,,,,,,90.1
1E7,90,89.7,90.5,,,,,,,,90.1
2E1,89,89.7,90.2,,,,,,,,89.6
2E2,90,89.7,90.3,,,,,,,,90
2E3,90,91.2,90.7,,,,,,,,90.6
2E4,92,92.8,90.7,,,,,,,,91.8
2E5,89,92.7,90.2,,,,,,,,90.6
2E6,89,90.8,90.6,,,,,,,,90.1
2E7,89,91.2,90.7,,,,,,,,90.3
