Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,77.4,75.6,73.1,,,,,,,,75.4
1E,78.3,77.4,75.5,,,,,,,,77.1
2H,78.6,77.1,75.8,,,,,,,,77.2
2E,77.2,76.6,78,,,,,,,,77.3
3H,,,,,,,,,,,
3E,,,,,,,,,,,
4H,76.5,75.7,79,,,,,,,,77.1
4E,78.1,77.2,76.5,,,,,,,,77.3
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,77.4,73.2,75.8,,,,,,,,75.5
6E,78.4,76.9,75.7,,,,,,,,77
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,73.4,74.6,72.1,,,,,,,,73.4
8E,76.5,77.2,78,,,,,,,,77.2
9H,,,,,,,,,,,
9E,,,,,,,,,,,
10H,69.9,67.5,70,,,,,,,,69.1
10E,75.8,74.5,76.7,,,,,,,,75.7
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,73.9,76.6,77,,,,,,,,75.8
12E,69.9,70.1,72.5,,,,,,,,70.8
13H,,,,,,,,,,,
13E,,,,,,,,,,,
14H,72.7,74.1,76.7,,,,,,,,74.5
14E,68.8,69.1,74.3,,,,,,,,70.7
15H,,,,,,,,,,,
15E,,,,,,,,,,,
16H,"71,9",74.5,76.9,,,,,,,,74.1
16E,73.3,76.5,77,,,,,,,,75.6
17H,,,,,,,,,,,
17E,,,,,,,,,,,
18H,71.5,74.4,75.7,,,,,,,,73.9
18E,74.3,76.8,79.1,,,,,,,,76.7
19H,,,,,,,,,,,
19E,,,,,,,,,,,
20H,74.1,75.7,77,,,,,,,,75.6
20E,72.8,74.7,78.2,,,,,,,,75.2
21H,,,,,,,,,,,
21E,,,,,,,,,,,
22H,75.6,77.2,76.9,,,,,,,,76.6
22E,71.6,75.5,77,,,,,,,,74.7
23H,,,,,,,,,,,
23E,,,,,,,,,,,
24H,73.9,76.5,78.8,,,,,,,,76.4
24E,72.1,71.7,74.6,,,,,,,,72.8
25H,,,,,,,,,,,
25E,,,,,,,,,,,
26H,75.3,74.1,77.3,,,,,,,,75.6
26E,76.7,77.9,78,,,,,,,,77.5
27H,,,,,,,,,,,
27E,,,,,,,,,,,
28H,76.7,77.4,78.5,,,,,,,,77.5
28E,74.3,76.8,79,,,,,,,,76.7
29H,,,,,,,,,,,
29E,,,,,,,,,,,
30H,72.5,75.4,76.7,,,,,,,,74.9
30E,78.8,77.7,76.5,,,,,,,,77.7
31H,,,,,,,,,,,
31E,,,,,,,,,,,
32H,75.4,78.1,76.2,,,,,,,,76.6
32E,76.1,75.7,74,,,,,,,,75.3
33H,,,,,,,,,,,
33E,,,,,,,,,,,
34H,79.2,77.7,78.6,,,,,,,,78.5
34E,73.4,75.5,77,,,,,,,,75.3
35H,,,,,,,,,,,
35E,,,,,,,,,,,
36H,72.1,74.9,77.6,,,,,,,,74.9
36E,78.4,77.5,79.6,,,,,,,,78.5
