Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,87,86,87.2,,,,,,,,86.7
1E,86.2,87,86.8,,,,,,,,86.7
2H,,,,,,,,,,,
2E,,,,,,,,,,,
3H,87,86.8,87,,,,,,,,86.9
3E,86,86.2,87.3,,,,,,,,86.5
4H,,,,,,,,,,,
4E,,,,,,,,,,,
5H,87,86.2,87.4,,,,,,,,86.9
5E,87,86.2,87,,,,,,,,86.7
6H,,,,,,,,,,,
6E,,,,,,,,,,,
7H,86.4,87,86.7,,,,,,,,86.7
7E,86,86.2,87.4,,,,,,,,86.5
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,86,86.2,87.3,,,,,,,,86.5
9E,86.3,86.4,87,,,,,,,,86.6
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,87,86.5,86.8,,,,,,,,86.8
11E,87,86.2,87.9,,,,,,,,87
12H,,,,,,,,,,,
12E,,,,,,,,,,,
13H,86,87,87.1,,,,,,,,86.7
13E,87,86,86.8,,,,,,,,86.6
14H,,,,,,,,,,,
14E,,,,,,,,,,,
15H,87,87.2,86,,,,,,,,86.7
15E,90.6,89,89.6,,,,,,,,89.7
16H,,,,,,,,,,,
16E,,,,,,,,,,,
17H,87,87.2,86.8,,,,,,,,87
17E,87,86.2,87,,,,,,,,86.7
18H,,,,,,,,,,,
18E,,,,,,,,,,,
19H,87,86.2,87,,,,,,,,86.7
19E,89.7,89,88,,,,,,,,88.9
20H,,,,,,,,,,,
20E,,,,,,,,,,,
21H,87,86.2,87.1,,,,,,,,86.8
21E,87.2,87,88,,,,,,,,87.4
22H,,,,,,,,,,,
22E,,,,,,,,,,,
23H,87,86.2,87.1,,,,,,,,86.8
23E,87,86,87.2,,,,,,,,86.7
24H,,,,,,,,,,,
24E,,,,,,,,,,,
25H,87.1,87,88.2,,,,,,,,87.4
25E,88.1,87,88,,,,,,,,87.7
26H,,,,,,,,,,,
26E,,,,,,,,,,,
27H,87,86,87.2,,,,,,,,86.7
27E,87,86.5,86.1,,,,,,,,86.5
28H,,,,,,,,,,,
28E,,,,,,,,,,,
29H,87,88.2,87.2,,,,,,,,87.5
29E,88,87.5,88.1,,,,,,,,87.9
30H,87,86.2,87.2,,,,,,,,86.8
30E,87,86.8,86,,,,,,,,86.6
