Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,49.7,51.8,48.8,,,,,,,,50.1
1E,44.4,47.3,44.7,,,,,,,,45.5
2H,73.8,70.7,73.6,,,,,,,,72.7
2E,67.1,75.9,72.2,,,,,,,,71.7
3H,62.9,61.9,63.3,,,,,,,,62.7
3E,,,,,,,,,,,
4H,,,,,,,,,,,
4E,49.2,45.8,47.7,,,,,,,,47.6
5H,,,,,,,,,,,
5E,,,,,,,,,,,
6H,61.2,62.7,61.1,,,,,,,,61.7
6E,,,,,,,,,,,
7H,,,,,,,,,,,
7E,,,,,,,,,,,
8H,,,,,,,,,,,
8E,,,,,,,,,,,
9H,,,,,,,,,,,
9E,50.3,50.9,58,,,,,,,,53.1
10H,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11E,,,,,,,,,,,
12H,50.3,44.3,42.1,,,,,,,,45.6
12E,,,,,,,,,,,
