Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,,,,,,,,,,,
1A,69.7,68.2,68.8,,,,,,,,68.9
1B,78.2,77.1,75,,,,,,,,76.8
1C,73.1,72.4,72,,,,,,,,72.5
1D,66.9,67.2,65.1,,,,,,,,66.4
1E,68.2,66.4,68,,,,,,,,67.5
2H,67.7,66.2,64.1,,,,,,,,66
2A,64.8,63.7,63.2,,,,,,,,63.9
2B,67.2,67.7,68.4,,,,,,,,67.8
2C,75.5,73.1,71.5,,,,,,,,73.4
2D,68.8,69.2,70.1,,,,,,,,69.4
2E,67.8,66.6,68.4,,,,,,,,67.6
3H,61.7,64.2,63.6,,,,,,,,63.2
3A,64.9,65.1,64.3,,,,,,,,64.8
3B,,,,,,,,,,,
3C,71,72.3,71.4,,,,,,,,71.6
3D,75.6,74.4,75.2,,,,,,,,75.1
3E,76.1,76.6,74.7,,,,,,,,75.8
4H,75.3,77.2,76.4,,,,,,,,76.3
4A,70.9,72.3,69.8,,,,,,,,71
4B,64.4,64.7,63.9,,,,,,,,64.3
4C,73.8,74.4,72.6,,,,,,,,73.6
4D,69.1,67.2,66.4,,,,,,,,67.6
4E,78,77.2,74.1,,,,,,,,76.4
5H,,,,,,,,,,,
5A,,,,,,,,,,,
5B,,,,,,,,,,,
5C,,,,,,,,,,,
5D,,,,,,,,,,,
5E,70.1,71.7,69.8,,,,,,,,70.5
6H,,,,,,,,,,,
6A,,,,,,,,,,,
6B,,,,,,,,,,,
6C,,,,,,,,,,,
6D,,,,,,,,,,,
6E,71,72.1,73.4,,,,,,,,72.2
7H,,,,,,,,,,,
7A,,,,,,,,,,,
7B,,,,,,,,,,,
7C,,,,,,,,,,,
7D,,,,,,,,,,,
7E,67.2,70.3,68.8,,,,,,,,68.8
8H,,,,,,,,,,,
8A,,,,,,,,,,,
8B,,,,,,,,,,,
8C,,,,,,,,,,,
8D,,,,,,,,,,,
8E,76.8,74.2,74.4,,,,,,,,75.1
9H,68.6,69.2,71.1,,,,,,,,69.6
9A,71.4,72.5,74,,,,,,,,72.6
9B,71.6,70.5,74,,,,,,,,72
9C,,,,,,,,,,,
9D,,,,,,,,,,,
9E,,,,,,,,,,,
10H,67.7,67.2,68,,,,,,,,67.6
10A,63.4,65.2,67.1,,,,,,,,65.2
10B,66.3,68.3,64.1,,,,,,,,66.2
10C,,,,,,,,,,,
10D,,,,,,,,,,,
10E,,,,,,,,,,,
11H,74,74.2,72.3,,,,,,,,73.5
11A,68,69.2,65.5,,,,,,,,67.6
11B,71.8,71.5,70.9,,,,,,,,71.4
11C,,,,,,,,,,,
11D,,,,,,,,,,,
11E,,,,,,,,,,,
12H,69.5,67.8,71.7,,,,,,,,69.7
12A,72.4,69.8,68.7,,,,,,,,70.3
12B,67.2,64.3,65.1,,,,,,,,65.5
12C,,,,,,,,,,,
12D,,,,,,,,,,,
12E,,,,,,,,,,,
