Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,72.3,72,74,,,,,,,,72.8
1A,74.4,75,74.8,,,,,,,,74.7
1B,71.9,72,73.5,,,,,,,,72.5
1E,73.2,73,74,,,,,,,,73.4
2H,73,74.5,76,,,,,,,,74.5
2A,71,71.5,72.5,,,,,,,,71.7
2B,70,71.5,70.5,,,,,,,,70.7
2E,74.2,73.9,74,,,,,,,,74
3H,72.2,73,71.9,,,,,,,,72.4
3A,75.3,76,76.5,,,,,,,,75.9
3B,73.3,74,74.5,,,,,,,,73.9
3E,72.9,73.5,74,,,,,,,,73.5
4H,75,75.8,75.6,,,,,,,,75.5
4A,74.5,75,75.2,,,,,,,,74.9
4B,73.8,74.2,74,,,,,,,,74
4E,71.4,72.5,73.6,,,,,,,,72.5
5H,74.8,75,74.5,,,,,,,,74.8
5A,75,74.8,76,,,,,,,,75.3
5B,71.8,72.5,72,,,,,,,,72.1
5E,73.2,74,75.5,,,,,,,,74.2
