Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,71.2,72.3,73.4,,,,,,,,72.3
1E,67.7,68.5,70,,,,,,,,68.7
2H,65.4,66.5,71,,,,,,,,67.6
2E,67.3,67.4,70,,,,,,,,68.2
3H,71,70,69.7,,,,,,,,70.2
3E,72,71,71,,,,,,,,71.3
4H,69.5,69,67,,,,,,,,68.5
4E,68,69,69.4,,,,,,,,68.8
5H,65,67,67.1,,,,,,,,66.4
5E,67,68,69.4,,,,,,,,68.1
6H,65,68,69,,,,,,,,67.3
6E,70,71.5,71,,,,,,,,70.8
7H,71,72,71.5,,,,,,,,71.5
7E,72.5,71,75,,,,,,,,72.8
8H,72,71.2,75,,,,,,,,72.7
8E,71,72,75,,,,,,,,72.7
9H,72,67,69,,,,,,,,69.3
9E,69,70,71.3,,,,,,,,70.1
10H,71.2,72.3,73.4,,,,,,,,72.3
10E,74.5,75.6,76.7,,,,,,,,75.6
