Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,73.1,73.2,73.3,,,,,,,,73.2
1E,74.1,74.2,74.3,,,,,,,,74.2
2H,75.5,75.6,75.7,,,,,,,,75.6
2E,72.3,72.4,72.5,,,,,,,,72.4
3H,73.1,73.2,73.4,,,,,,,,73.2
3E,70.1,70.2,70.3,,,,,,,,70.2
4H,71.6,71.7,71.8,,,,,,,,71.7
4E,72.7,72.8,72.9,,,,,,,,72.8
5H,80.1,80.2,80.3,,,,,,,,80.2
5E,71.4,71.5,71.6,,,,,,,,71.5
1E1,70.1,70.2,70.3,,,,,,,,70.2
1E2,73.4,73.5,73.6,,,,,,,,73.5
1E3,72.3,72.4,72.5,,,,,,,,72.4
1E4,70.1,70.2,70.3,,,,,,,,70.2
1E5,73.4,73.5,73.6,,,,,,,,73.5
1E6,75.1,75.2,75.3,,,,,,,,75.2
2E1,76.4,76.5,76.6,,,,,,,,76.5
2E2,70.2,70.3,70.4,,,,,,,,70.3
2E3,71.3,71.4,71.5,,,,,,,,71.4
2E4,80.1,80.2,80.3,,,,,,,,80.2
2E5,81.2,81.3,81.4,,,,,,,,81.3
2E6,70.4,70.5,70.6,,,,,,,,70.5
3E1,71.3,71.4,71.5,,,,,,,,71.4
3E2,72.3,72.4,72.5,,,,,,,,72.4
3E3,70.2,70.3,70.4,,,,,,,,70.3
3E4,71.5,71.6,71.7,,,,,,,,71.6
3E5,80.1,80.2,80.3,,,,,,,,80.2
3E6,72.3,72.4,73.5,,,,,,,,72.7
4E1,73.5,73.6,73.7,,,,,,,,73.6
4E2,80.3,80.4,80.5,,,,,,,,80.4
4E3,72.2,72.3,72.4,,,,,,,,72.3
4E4,73.4,73.5,73.6,,,,,,,,73.5
4E5,71.7,71.8,71.9,,,,,,,,71.8
4E6,72.3,72.4,72.5,,,,,,,,72.4
5E1,70.3,70.4,70.5,,,,,,,,70.4
5E2,71.7,71.8,71.9,,,,,,,,71.8
5E3,74.3,74.4,74.5,,,,,,,,74.4
5E4,72.3,72.4,72.6,,,,,,,,72.4
5E5,76.5,76.6,76.7,,,,,,,,76.6
5E6,70.3,70.4,70.5,,,,,,,,70.4
