Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,93.2,94.5,92.5,,,,,,,,93.4
1E,93.5,92.5,93.2,,,,,,,,93.1
2H,95.4,96.2,95.3,,,,,,,,95.6
2E,92.3,93.5,94.3,,,,,,,,93.4
3H,93.5,95.3,93.6,,,,,,,,94.1
3E,94.3,93.5,94.5,,,,,,,,94.1
4H,93.6,94.3,93.5,,,,,,,,93.8
4E,94.5,93.5,92.6,,,,,,,,93.5
5H,93.4,92.6,93.5,,,,,,,,93.2
5E,93.5,92.5,93.5,,,,,,,,93.2
6H,93.4,92.6,93.5,,,,,,,,93.2
6E,92.6,93.1,94.3,,,,,,,,93.3
7H,92.3,93.4,92.5,,,,,,,,92.7
7E,93.2,92.5,93.5,,,,,,,,93.1
8H,92.3,93.2,92.5,,,,,,,,92.7
8E,93.2,92.5,93.1,,,,,,,,92.9
9H,92.3,93.5,94.5,,,,,,,,93.4
9E,93.5,93.4,95.4,,,,,,,,94.1
10H,94.3,93.2,92.3,,,,,,,,93.3
10E,93.2,92.5,93.2,,,,,,,,93
11H,93.2,94.5,93.5,,,,,,,,93.7
11E,93.5,94.3,93.5,,,,,,,,93.8
12H,93.5,92.5,93.4,,,,,,,,93.1
12E,93.5,95.3,92.3,,,,,,,,93.7
13H,93.2,91.2,93.2,,,,,,,,92.5
13E,93.4,93.4,92.6,,,,,,,,93.1
