Position,1,2,3,4,5,6,7,8,9,10,AVG
1H,94.1,94.2,94.3,,,,,,,,94.2
1A,95.5,95.6,95.7,,,,,,,,95.6
1B,93.3,93.4,93.5,,,,,,,,93.4
1E,96.1,96.2,96.3,,,,,,,,96.2
2H,95.1,95.2,95.3,,,,,,,,95.2
2A,94.4,94.5,94.6,,,,,,,,94.5
2B,93.7,93.8,93.9,,,,,,,,93.8
2E,92.2,92.3,92.4,,,,,,,,92.3
3H,92.6,92.7,92.8,,,,,,,,92.7
3A,95.1,95.2,95.3,,,,,,,,95.2
3B,96.7,96.8,96.9,,,,,,,,96.8
3E,93.5,93.6,93.7,,,,,,,,93.6
4H,,,,,,,,,,,
4A,,,,,,,,,,,
4B,,,,,,,,,,,
4E,,,,,,,,,,,
5H,,,,,,,,,,,
5A,,,,,,,,,,,
5B,,,,,,,,,,,
5E,,,,,,,,,,,
6H,,,,,,,,,,,
6A,,,,,,,,,,,
6B,,,,,,,,,,,
6E,,,,,,,,,,,
7H,96.6,96.7,96.8,,,,,,,,96.7
7A,95.1,95.2,95.3,,,,,,,,95.2
7B,94.4,94.5,94.6,,,,,,,,94.5
7E,93.5,93.6,93.7,,,,,,,,93.6
8H,,,,,,,,,,,
8A,,,,,,,,,,,
8B,,,,,,,,,,,
8E,,,,,,,,,,,
9H,,,,,,,,,,,
9A,,,,,,,,,,,
9B,,,,,,,,,,,
9E,,,,,,,,,,,
10H,,,,,,,,,,,
10A,,,,,,,,,,,
10B,,,,,,,,,,,
10E,,,,,,,,,,,
11H,,,,,,,,,,,
11A,,,,,,,,,,,
11B,,,,,,,,,,,
11E,,,,,,,,,,,
12H,95.5,95.6,95.7,,,,,,,,95.6
12A,95.8,95.9,96,,,,,,,,95.9
12B,97.1,97.2,97.3,,,,,,,,97.2
12E,96.2,96.5,96.7,,,,,,,,96.5
