"die number","production number","arrival at","die diamater",bolster,die_postition
APT2-V01B,APTE00-98000724-D,2021-11-17,260,B4626-1710-**,A1_1A
APT2-V01C,APTE00-98000724-D,2023-04-01,260,B4626-1710-**,
APT3-V01B,APTE00-98000404-D,2021-11-17,260,B4626-1710-**,A1_2A
APT3-V01C,APTE00-98000404-D,2023-04-01,260,B4626-1710-**,
APT4-V01B,APTE00-98000565-D,0000-00-00,260,B4626-1010-**,A1_3A
APT4-V02B,APTE00-98000565-D,2021-12-27,260,B4626-1010-**,A1_3B
APT5-V01B,APTE00-96000152-D,2021-11-17,260,B4626-1010-**,A2_1A
APT5-V01C,APTE00-96000152-D,2023-03-21,260,B4626-1010-**,A2_1B
APT6-V01B,APTE00-96000150-D,0000-00-00,260,B4626-1010-**,A2_2A
APT6-V01B1,APTE00-96000150-D,2021-11-01,260,B4626-1010-**,
APT6-V02B,APTE00-96000150-D,2021-12-27,260,B4626-1010-**,A2_2B
APT7-V01B,APTE00-98000948-D,2021-11-17,260,B4626-1010-**,A2_3A
APT8-V01B,APTE00-96001786-D,2021-12-07,260,B4626-1010-**,A3_1A
APT9-V01E,APTE00-96001042-D,2025-07-11,260,B4626-1010-**,
AXT663M5-V01D,AXT663-1-X439,2022-06-29,260,B4626-1710-**,K1_1A
AXT663M5-V02D,AXT663-1-X439,2023-08-28,260,B4626-1710-**,K1_2A
AXT663M6-V01D,AXT663-1-X437,2022-06-29,260,B4626-1710-**,K1_1B
AXT663M6-V02D,AXT663-1-X437,2023-08-29,260,B4626-1710-**,K1_2B
AXT663M7-V01D,AXT663-1-X448,2022-06-29,260,B4626-1710-**,K1_3A
AXT663M7-V02D,AXT663-1-X448,2023-08-29,260,B4626-1710-**,K2_2A
AXT835M-V01D,AXT835-30D-1,2022-07-02,260,B4626-1710-**,K1_3B
AXT835M-V02D,AXT835-30D-1,2023-08-29,260,B4626-1710-**,K2_2B
CA20T-V01C,S370A63T26X20X20,2022-06-27,260,B4626-1710-**,K2_1A
CA20T-V02C,S370A63T26X20X20,2024-08-02,260,B4626-1710-**,
CA20T-V03C,S370A63T26X20X20,2024-08-02,260,B4626-1710-**,
CA25T-V01C,S370A63T31X25X30,2022-06-27,260,B4626-1710-**,K2_1B
CA25T-V02C,S370A63T31X25X30,2024-08-02,260,B4626-1710-**,
CA25T-V03C,S370A63T31X25X30,2024-08-02,260,B4626-1710-**,
CA32T-V01C,S370A63T38X32X30,2022-06-27,260,B4626-1710-**,K2_3A
CA32T-V02C,S370A63T38X32X30,2024-08-02,260,B4626-1710-**,
CA32T-V03C,S370A63T38X32X30,2024-08-02,260,B4626-1710-**,
CA40S-V01D,C2A40E-AA698-15K,2023-10-24,230,B4620-1208-**,T1_2A
CA40T-V01C,S370A63T47X40X30,2022-06-27,260,B4626-1710-**,K2_3B
CA40T-V02C,S370A63T47X40X30,2024-08-02,260,B4626-1710-**,
CA40T-V03C,S370A63T47X40X30,2024-08-02,260,B4626-1710-**,
CA50T-V01C,S370A63T58X50X30,2022-06-27,260,B4626-1710-**,K3_1A
CA50T-V02C,S370A63T58X50X30,2024-08-02,260,B4626-1710-**,
CA50T-V03C,S370A63T58X50X30,2024-08-02,260,B4626-1710-**,
CA63S-V01D,C2A63E-AA699-15K,2023-10-24,230,B4620-1208-**,T2_2A
CA63T-V01C,S370A63T72X63X30,2022-06-27,300,B4630-2012-**,K3_1B
