Date,machine_number,die_number,pressing_type,code,start,end,note
2023-08-29,1,,,100,07:45,08:00,
2023-08-29,1,MYB16H-V01D,●,300,08:00,08:05,
2023-08-29,1,MYB16H-V01D,●,700,08:00,08:35,
2023-08-29,1,MYB16H-V01D,●,200,08:10,08:17,
2023-08-29,1,CXS06S3-V01D,〇,300,08:35,08:40,
2023-08-29,1,CXS06S3-V01D,〇,700,08:35,08:45,
2023-08-29,1,SY50M-V01B,●,300,08:45,08:50,
2023-08-29,1,SY50M-V01B,●,700,08:45,09:05,
2023-08-29,1,SY50M-V01B,●,200,08:55,09:05,
2023-08-29,1,XLA25B2-V02B,●,300,09:05,09:09,
2023-08-29,1,XLA25B2-V02B,●,700,09:05,10:15,
2023-08-29,1,MHY20B-V01D,●,300,10:15,10:20,
2023-08-29,1,MHY20B-V01D,●,700,10:15,11:30,
2023-08-29,1,MHY20B-V01D,●,200,10:25,10:33,
2023-08-29,1,,,105,11:30,12:15,
2023-08-29,1,MHY10B-V01D,●,300,12:15,12:23,
2023-08-29,1,MHY10B-V01D,●,700,12:15,13:45,
2023-08-29,1,MHY10B-V01D,●,200,12:33,12:40,
2023-08-29,1,XLA16B2-V02B,●,300,13:45,13:52,
2023-08-29,1,XLA16B2-V02B,●,700,13:45,14:43,
2023-08-29,1,XLA16B2-V02B,●,200,14:02,14:10,
2023-08-29,1,S070M2-V01B,〇,300,14:43,14:50,
2023-08-29,1,S070M2-V01B,〇,700,14:43,15:12,
2023-08-29,1,VJ30M3-V02D,〇,300,15:12,15:17,
2023-08-29,1,VJ30M3-V02D,〇,700,15:12,15:25,
2023-08-29,1,MXH16P-V02D,〇,300,15:25,15:30,
2023-08-29,1,MXH16P-V02D,〇,700,15:25,16:00,
2023-08-29,1,,,705,16:00,16:30,
2023-08-28,1,,,100,07:45,08:00,
2023-08-28,2,,,100,07:45,08:00,
2023-08-28,2,,,715,07:45,10:39,
2023-08-28,2,M1B80T-V01D,,700,07:45,11:20,
2023-08-28,2,,,101,08:00,09:10,
2023-08-28,1,,,715,08:00,10:15,
2023-08-28,1,DXT199M1-V02D,〇,300,10:15,10:23,
2023-08-28,1,DXT199M1-V02D,〇,700,10:15,10:35,
2023-08-28,1,DXT155M-V01D,●,300,10:35,10:40,
2023-08-28,1,DXT155M-V01D,●,700,10:35,10:50,
2023-08-28,2,M1B80T-V01D,,300,10:39,10:45,
2023-08-28,1,DXT155M-V01D,●,200,10:45,10:50,
2023-08-28,2,M1B80T-V01D,,799,10:45,16:30,"pin khuon bi rot"
2023-08-28,1,VV10M1-V01B,●,300,10:50,10:55,
2023-08-28,1,VV10M1-V01B,●,700,10:50,11:30,
2023-08-28,1,VV10M1-V01B,●,200,11:02,11:10,
2023-08-28,1,,,105,11:30,12:15,
2023-08-28,1,XLA16B2-V01B,●,300,12:15,12:20,
2023-08-28,1,XLA16B2-V01B,●,700,12:15,13:10,
2023-08-28,1,SY50M-V02B,●,300,13:10,13:17,
2023-08-28,1,SY50M-V02B,●,700,13:10,13:30,
2023-08-28,1,SY50M-V02B,●,200,13:22,13:30,
2023-08-28,1,MSQ30B2-V03D,●,300,13:30,13:38,
2023-08-28,1,MSQ30B2-V03D,●,700,13:30,14:55,
