"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
APT6-V01B1,35,6,1200,500,0,9,480,5,0.6,1.5,13,14,1B1
APT8-V01B,25,2,1200,480,50,9,480,5,0.6,2,14,15,1B2
APT4-V01B,35,6.1,1200,500,50,9,480,5,0.6,1.5,19,20,1B1
MXS25TB-V02D,35,4.7,1200,480,0,9,480,5,0.6,1.5,13,14,1B1
MXS06TB-V02D,25,1.8,600,480,0,9,500,5,0.6,1.5,15,16,1B2
MXS06TB-V02D,25,1.8,600,480,0,9,500,5,0.6,1.5,15,16,1B2
MYB16H-V02D,35,4.2,1200,480,50,9,480,5,0.6,1.5,19,20,1B1
APT7-V01B,25,3.5,600,480,100,9,480,5,0.6,1.5,9,8,1B1
XLA16BN-V02B,35,5.1,1200,480,100,9,500,5,0.6,1.5,15,15,1B1
MXW20B-V01D,25,6,1200,480,100,9,480,5,0.6,1.5,18,19,2B1
APT3-V01B,25,3.3,600,470,100,9,480,5,0.6,1.5,9,10,1B2
CG50H-V01C,25,4,1200,480,100,9,480,5,0.6,1.5,6,7,2B1
CG40R-V01D,25,4,1200,480,100,9,480,5,0.6,2,12,13,1B1
CG40R-V01D,25,4,1200,480,100,9,480,5,0.6,2,12,13,1B1
CQ40G-V01C,25,4,1200,490,0,9,480,5,0.6,2,8,9,1B1
APT2-V01B,25,4,600,470,100,9,480,5,0.6,1.5,7,8,1B1
CQ12G-V01C,25,2,600,500,0,9,480,5,0.6,2,12,13,1B2
CQ25G-V01C,25,2.7,1200,480,100,9,480,5,0.6,2,12,13,1B1
CJ12P-V01D,45,2,600,500,0,9,480,5,0.6,2,17,18,1B2
NCA64TD-V01C,25,3.5,600,480,100,9,480,5,0.6,1.5,4,5,1B1
CQ16G-V01C,25,2,600,500,0,9,480,5,0.6,1.5,1,1,1B1
CQ20G-V01C,25,2,600,490,100,9,480,5,0.6,2,7,8,1B1
CQ12C-V01D,25,1.5,600,460,0,9,480,5,0.6,2,14,15,1B2
MXS20TB-V02D,35,6,1200,490,0,9,480,5,0.6,1.5,22,23,1B1
APT4-V02B,35,6.1,1200,500,50,9,480,5,0.6,1.5,19,20,1B1
