ngay_cat,ma_khuon,ma_san_pham,tu_thanh,den_thanh,thoi_gian_bat_dau,thoi_gian_ket_thuc,khoang_thoi_gian
2026-03-18,CP9640T4-V02D,C9640ABAZ034-30K,1,1,08:10,08:25,"15 min"
2026-03-18,CA25T-V03C,S370A63T31X25X30,1,10,09:10,10:00,"50 min"
2026-03-18,CQ32T3-V04B,C2Q32A-AD138A20K,1,1,10:00,10:12,"12 min"
2026-03-18,CQ32T3-V05B,C2Q32A-AD138A20K,1,1,10:12,10:23,"11 min"
2026-03-18,XLA25B2-V01B,XLA25-1B-S,1,1,11:10,11:30,"20 min"
2026-03-18,MB40TD-V01H,S409A63T45X40X30,1,1,11:30,11:44,"14 min"
2026-03-18,MB50TD-V01H,S409A63T55X50X30,1,1,11:48,12:00,"12 min"
2026-03-18,CXS32S3-V02D,CXS32A-BA025-20K,1,1,12:00,12:10,"10 min"
2026-03-18,CP9640T-V03B,C9640ABAC959-30K,1,4,13:15,13:45,"30 min"
2026-03-18,CP9640T-V03B,C9640ABAC959-30K,1,8,13:50,14:23,"33 min"
2026-03-18,CP9640T-V03B,C9640ABAC959-30K,9,10,14:27,14:55,"28 min"
2026-03-18,CYV15K-V01D,CYV15C-R5502-20K,1,1,15:50,16:03,"13 min"
2026-03-17,MSQ10B2-V05D,P6260101-D,1,3,08:00,08:40,"40 min"
2026-03-17,CRQ15B-V02C,P4730002-D,1,9,08:02,08:39,"37 min"
2026-03-17,CRQ15B-V02C,P4730002-D,10,18,08:40,09:17,"37 min"
2026-03-17,CP9640T4-V02D,C9640ABAZ034-30K,1,1,08:50,09:00,"10 min"
2026-03-17,MXS25TB-V02D,P3800602-M-2,1,6,09:18,09:47,"29 min"
2026-03-17,CP9640T-V02B,C9640ABAC959-30K,1,3,09:40,10:00,"20 min"
2026-03-17,MXS25TB-V02D,P3800602-M-2,7,12,09:48,10:16,"28 min"
2026-03-17,CYR25SR-V01D,CYR25E-AX664-30K,1,2,10:00,10:13,"13 min"
2026-03-17,MXS25TB-V02D,P3800602-M-2,13,18,10:27,10:58,"31 min"
2026-03-17,MXS25TB-V02D,P3800602-M-2,19,21,11:00,11:20,"20 min"
2026-03-17,CQ63T3-V01C-ZZZ,C2Q63A-AD141A30K,1,3,11:30,11:55,"25 min"
2026-03-17,CG63R3-V01D,C3G63K02-AG006,1,5,11:37,12:53,"76 min"
2026-03-17,CA25T-V02C,S370A63T31X25X30,1,18,11:57,15:00,"183 min"
2026-03-17,CYR15AR-V01E,CYR15L-AX662-20K,1,10,12:53,13:20,"27 min"
2026-03-17,CG25R3-V01D,C3G25K02-AG002,1,13,13:22,13:53,"31 min"
2026-03-17,CG25R3-V01D,C3G25K02-AG002,14,16,13:54,14:20,"26 min"
2026-03-17,CM40AS-V01D,C2M040K03-68717B,1,10,14:20,14:45,"25 min"
2026-03-17,CM40AS-V01D,C2M040K03-68717B,11,18,14:46,15:15,"29 min"
2026-03-17,CYB20B-V01D,CYB20K-AS378-20K,1,5,15:30,16:06,"36 min"
2026-03-16,MSQ50B5-V02D,P8910402-D,1,2,07:49,09:01,"72 min"
2026-03-16,CP9663T-V01B,C9663ABAC961-30K,1,7,07:58,08:40,"42 min"
2026-03-16,MXQ06B-V03D,P3802301B-M,1,2,08:10,08:23,"13 min"
2026-03-16,MXQ08B-V03D,P3802401B-M,1,2,08:23,08:35,"12 min"
2026-03-16,MXQ12B-V03D,P3802501B-M,1,1,08:35,08:48,"13 min"
2026-03-16,CXS15S3-V03D,CXS15A-BA022-20K,1,1,08:48,09:00,"12 min"
2026-03-16,MLU50LB-V01E,MLU50-27-Z0414-K,1,1,09:01,09:20,"19 min"
2026-03-16,CRQ15B-V01D,P4730002-D,1,9,09:02,09:30,"28 min"
2026-03-16,MGPM40B2-V01D,MGP40A-AC896-30K,1,5,09:20,11:31,"131 min"
2026-03-16,CYV32K-V02D,CYV32C-R5503A20K,1,1,09:30,09:40,"10 min"
2026-03-16,CRQ15B-V01D,P4730002-D,10,18,09:31,10:00,"29 min"
2026-03-16,CU25B2-V01D,CU-025K27-57159A,1,1,09:40,09:51,"11 min"
2026-03-16,CRQ15B-V01D,P4730002-D,19,22,10:10,10:32,"22 min"
2026-03-16,CA32T-V01C,S370A63T38X32X30,1,16,10:30,12:10,"100 min"
2026-03-16,CXS10S3-V02D,CXS10A-R6001-20K,1,2,10:35,10:48,"13 min"
2026-03-16,CXS06S3-V03D,CXS06A-R6000-20K,1,4,10:50,11:04,"14 min"
2026-03-16,CG50R3-V01D,C3G50K02-AG005,1,8,11:14,12:08,"54 min"
2026-03-16,CG40R-V01D,CG-040K02-35903A,1,12,12:40,13:45,"65 min"
2026-03-16,LEY63B-V01B,LEY63-1D-30,1,2,13:01,14:29,"88 min"
2026-03-16,LEY63B-V02B,LEY63-1D-30,1,4,13:01,14:29,"88 min"
2026-03-16,CYV32K-V01D-ZZZ-DUN,CYV32C-R5503A30K,1,1,13:20,13:40,"20 min"
2026-03-16,CQ50G-V01D,C2Q50G-F2256-30K,1,1,13:45,14:00,"15 min"
2026-03-16,CG40R-V01D,CG-040K02-35903A,13,18,13:45,14:10,"25 min"
2026-03-16,CM32AS-V02D,C2M032K03-68716B,1,11,14:10,14:48,"38 min"
2026-03-16,LEY63B-V01B,LEY63-1D-30,3,5,14:29,16:30,"121 min"
2026-03-16,CM32AS-V02D,C2M032K03-68716B,12,22,14:50,15:40,"50 min"
2026-03-16,CSA6S-V01D,C1SA6E-AA750-15K,1,6,15:50,16:22,"32 min"
2026-03-13,MXS25TB-V01D,P3800602-M-2,13,14,07:50,08:18,"28 min"
2026-03-13,CP9640T-V02B,C9640ABAC959-30K,1,5,08:25,08:50,"25 min"
2026-03-13,MXS16B-V03D,P3800401B-M,1,9,08:34,09:53,"79 min"
2026-03-13,MGPM32B2-V01D,MGP32A-AC895-30K,1,5,08:42,09:10,"28 min"
2026-03-13,CP9632T4-V02D,C9632ABAZ033-30K,1,3,08:55,09:20,"25 min"
2026-03-13,MGPM32B2-V01D,MGP32A-AC895-30K,6,10,09:10,11:30,"140 min"
2026-03-13,MSQ10B2-V05D,P6260101-D,1,1,09:20,09:30,"10 min"
2026-03-13,CYR25SR-V01D,CYR25E-AX664-30K,1,2,09:30,09:43,"13 min"
2026-03-13,MXS16B-V03D,P3800401B-M,10,14,09:55,10:28,"33 min"
2026-03-13,CXS06S3-V03D,CXS06A-R6000-20K,1,12,10:39,11:04,"25 min"
2026-03-13,CA25T-V01C,S370A63T31X25X30,1,11,11:00,11:40,"40 min"
2026-03-13,VV14M1-V02D-ZZZ,DXT199-20-23-30,1,5,11:05,11:37,"32 min"
