ngay_keo,ma_khuon,ma_san_pham,tu_thanh,den_thanh,thoi_gian_bat_dau,thoi_gian_ket_thuc,khoang_thoi_gian
2025-09-11,VJ10M-V02D,VJ100-16-7,6,16,08:25,08:35,"10 min"
2025-09-11,M1B63T-V01D,MB-63ABL8512-30K,1,5,08:27,08:31,"4 min"
2025-09-11,M1B63T-V01D,MB-63ABL8512-30K,6,10,08:31,08:35,"4 min"
2025-09-11,CXS20P-V01E,CXS20J-28749-20K,1,18,08:55,09:10,"15 min"
2025-09-11,CM20AS-V01D,C2M020K03-68714B,1,13,10:15,10:25,"10 min"
2025-09-11,CM20AS-V01D,C2M020K03-68714B,14,25,10:30,10:41,"11 min"
2025-09-10,CQ20T-V01D,C2Q020K04-49998,1,12,08:12,08:22,"10 min"
2025-09-10,CQ20T-V01D,C2Q020K04-49998,13,18,08:41,08:47,"6 min"
2025-09-10,CM20AH-V01D,C2M020K02-68714B,1,23,09:25,10:00,"35 min"
2025-09-10,MXS12E-V02D,P3800303-MH1,1,1,10:36,10:38,"2 min"
2025-09-10,VJ30M-V02D,VJ300-8-5,1,2,10:38,10:43,"5 min"
2025-09-10,VP300M-V02D,VP300-22,1,1,10:43,10:46,"3 min"
2025-09-10,CQ12G-V01C,C2Q12G-P1280-30K,1,20,10:55,11:20,"25 min"
2025-09-10,CP9663T-V02B,C9663ABAC961-30K,1,4,11:20,11:30,"10 min"
2025-09-10,CP9663T-V03B,C9663ABAC961-30K,1,7,13:20,13:26,"6 min"
2025-09-10,CP9663T-V03B,C9663ABAC961-30K,8,10,13:27,13:30,"3 min"
2025-09-10,MHL20B2-V02D,P3315361-M,1,1,13:37,13:40,"3 min"
2025-09-10,MHL25B2-V02D,P3315461-M,1,1,13:40,13:42,"2 min"
2025-09-10,CXS32S2-V01E,CXS32A-AS991-20K,1,9,14:00,14:10,"10 min"
2025-09-10,CQ12T3L-V02B-ZZZ,C2Q12A-AD367-30K,1,4,15:40,15:45,"5 min"
2025-09-10,MXS25B-V02D,P3800601B-M,1,7,15:45,16:00,"15 min"
2025-09-10,CXS20S2-V01E,CXS20A-AS989-20K,1,2,16:03,16:07,"4 min"
2025-09-10,VJ10M-V02D,VJ100-16-7,1,5,16:10,16:15,"5 min"
2025-09-09,CQ12T3L-V01B-ZZZ,C2Q12A-AD367-30K,1,10,08:00,08:15,"15 min"
2025-09-09,CQ63T3-V02C-ZZZ,C2Q63A-AD141A30K,1,6,08:04,08:10,"6 min"
2025-09-09,CQ63T3-V02C-ZZZ,C2Q63A-AD141A30K,7,7,08:14,08:16,"2 min"
2025-09-09,CQ40T3-V02B-ZZZ,C2Q40A-AD139A30K,1,8,08:20,08:35,"15 min"
2025-09-09,CQ40T3-V02B-ZZZ,C2Q40A-AD139A30K,9,11,09:30,09:34,"4 min"
2025-09-09,CUJ06A-V01D,CUJ06A-P7101A20K,1,3,09:35,09:40,"5 min"
2025-09-09,CQ40C-V01D,S501A61T43X16X30,1,8,09:42,09:50,"8 min"
2025-09-09,APT5-V01C,APTE00-96000152-D,1,15,10:45,10:57,"12 min"
2025-09-09,CXS16S2-V01E,CXS16A-AS988-20K,1,1,11:20,11:23,"3 min"
2025-09-09,MSQ10B2-V02D,P6260101-D,1,10,11:20,11:32,"12 min"
2025-09-09,CP9632T4-V01D,C9632ABAZ033-30K,1,1,11:23,11:25,"2 min"
2025-09-09,CP9640T4-V01D,C9640ABAZ034-30K,1,1,11:25,11:28,"3 min"
2025-09-09,MSQ10B2-V02D,P6260101-D,11,16,12:40,12:50,"10 min"
2025-09-09,CXS15S3-V03D,CXS15A-BA022-20K,1,3,12:55,12:58,"3 min"
