press_date_at,pressing_time,"machine no.",die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401
2026-06-24,0.28,3,CY1S06PA-V01D,CYS06JAAJ024A-20K,1.148,2,2.296,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,1.30,1,CYR15AR-V01E,CYR15L-AX662-20K,0.884,2,1.768,25,2.98,●,5,5,600,9,150,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-24,0.25,3,CP9650T4-V02D,C9650ABAZ035-30K,3.304,3,9.912,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,4.00,3,XLA25B2-V03B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,28,28,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,1.80,1,CP9632T-V01B,C9632ABAC958-30K,1.2447,3,3.734,40,4.76,●,16,16,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,1.40,1,CQ12TH-V01D,C2Q012K04-56563,1.0503,2,2.101,25,2.98,●,15,15,600,9,359,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,2.03,1,PS63B-V01D,S502A61T63X13X20,7.69203,2,15.384,40,4.76,●,24,24,1200,9,166,1,165,2026-06-24,2026-06-24,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.55,2,CP96A0T4-V01D,C96A0ABAZ038-30K,7.629,3,22.887,25,2.98,〇,3,3,600,14,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.90,2,NCA200R-V01D,NCA200-02-AV287-20K,9.431,2,18.862,35,4.17,◎,5,5,1200,14,69,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,2.57,1,CP9640T-V04B,C9640ABAC959-30K,1.3959,3,4.188,25,2.98,●,28,28,600,9,363,6,357,2026-06-24,2026-06-24,,,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.62,2,NCA325H-V01D,NCA325-03-AV289-20K,23.551,2,47.102,35,4.17,◎,6,6,1200,14,26,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.77,2,NCA400H-V01D,NCA400-03-AV290-20K,33.97,2,67.94,35,4.17,◎,6,6,1200,14,16,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.90,1,MSQ20B2-V04D,P6260201-D,4.66,2.075,9.669,35,4.17,●,7,7,1200,9,69,,,,2026-06-24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,1.67,1,VV14M1-V02D-ZZZ,DXT199-20-23-30,2.58,3,7.74,50,5.95,●,14,14,1200,9,209,0,209,2026-06-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.33,3,VJ10M-V02D,VJ100-16-7,0.66,2,1.32,40,4.76,〇,1,1,600,9,1,1,0,2026-06-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.50,3,CXS32S3-V02D,CXS32A-BA025-20K,4.467,2,8.934,25,2.98,〇,2,2,1200,9,1,1,0,2026-06-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,1.20,3,CAA0T-V03C,S370A63T110X100X30,4.39591,3,13.188,25,2.98,●,10,10,1200,9,78,0,78,2026-06-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.50,1,MSQ10TB-V01E,P8910170-D,4.3,2,8.6,35,4.17,◎,5,5,1200,9,64,0,64,2026-06-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,0.97,3,CUJ04A-V02D,CUJ04A-P7100A20K,0.37,2,0.74,25,2.98,●,4,4,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23,0.83,1,MXH06T0-V02D,MXH06-27-E7098-K,1,2,2,25,2.98,◎,4,4,600,9,102,0,102,2026-06-25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-23,1.50,1,CP9632T-V01B,C9632ABAC958-30K,1.2447,3,3.734,40,4.76,●,16,12,600,9,178,3,175,2026-06-25,,,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,2.08,1,CYR15AR-V01E,CYR15L-AX662-20K,0.884,2,1.768,25,2.98,◎,7,7,600,9,209,89,120,2026-06-23,2026-06-22,,,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,1.67,3,MSQ10B2-V05D,P6260101-D,3.26,2.045,6.667,25,2.98,●,16,16,1200,9,270,21,249,2026-06-23,2026-06-22,,2026-06-23,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-06-22,0.85,1,MK50RC-V01E,MK-50L-AF611-20K,4.393,2,8.786,25,2.98,◎,5,5,1200,9,64,14,50,2026-06-23,2026-06-22,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,1,0,0,0
2026-06-22,1.63,1,CQ12TH-V01D,C2Q012K04-56563,1.0503,2,2.101,25,2.98,●,15,15,600,9,359,3,356,2026-06-23,2026-06-22,,2026-06-24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,0.50,2,CY1S40PA-V01D,CYS40JAAJ030A-20K,7.393,2,14.786,35,4.17,〇,1,1,1200,14,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,1.13,1,XLA16B2-V02B,XLA16-1B-S,4.85,2,9.7,35,4.17,●,16,16,1200,9,175,0,175,2026-06-24,2026-06-24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
