press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401,machine,mfg
2026-04-02,1.92,CQ16G-V01C,C2Q16G-P1281-30K,0.726,3,2.178,25,2.98,●,18,18,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dubai
2026-04-02,0.78,CA63T-V03C,S370A63T72X63X30,2.54708,3,7.641,60,7.14,●,7,7,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,VN
2026-04-01,2.12,CQ20G-V01C,C2Q20G-P1282-30K,1.074,3,3.222,25,2.98,●,18,18,600,9,,,,,0000-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dubai
2026-04-01,0.30,CP9640T4-V02D,C9640ABAZ034-30K,2.459,3,7.377,25,2.98,〇,1,1,600,9,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-04-01,0.23,CYR25SR-V01D,CYR25E-AX664-30K,0.69,3,2.07,25,2.98,〇,1,1,600,9,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-04-01,0.27,CXS10S2-V02E,CXS10A-AS987-20K,1.52,2,3.04,25,2.98,〇,1,1,600,9,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-04-01,0.28,MXS16B-V03D,P3800401B-M,2.6,2,5.2,55,6.55,〇,1,1,1200,9,20,3,17,,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Dubai
2026-04-01,0.92,MB32T-V03C,S369A63T36X32X30,0.5777,3,1.733,25,2.98,◎,7,7,600,9,209,,,,2026-04-01,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-04-01,1.30,CYR32SR-V02D,CYR32E-AX665-30K,0.879,3,2.637,25,2.98,●,11,11,600,9,,,,,2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dubai
2026-04-01,1.47,CA80T-V01C,S370A63T89X80X30,3.18295,3,9.549,25,2.98,●,14,14,1200,9,,,,,2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,VN
2026-04-01,-12.88,CJ10P-V01D,C2J10M-AF112-25K,0.216,2.5,0.54,25,2.98,●,14,14,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dubai
2026-04-01,1.73,CP9663T-V01B,C9663ABAC961-30K,2.5272,3,7.582,60,7.14,●,9,9,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,VN
2026-03-30,0.33,CYR15SR-V01D,CYR15E-AX662-30K,0.482,3,1.446,25,2.98,〇,1,1,600,9,1,1,0,2026-03-31,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-30,0.20,MB32TD-V01H,S409A63T36X32X30,0.77562,5.6,4.343,25,2.98,〇,1,1,600,9,1,1,0,2026-03-31,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
